1;федеральное государственное бюджетное учреждение «Национальный медицинский исследовательский центр акушерства, гинекологии и перинатологии имени академика В.И. Кулакова» Министерства здравоохранения Российской Федерации
5;Государственное медицинское учреждение «Детская республиканская клиническая больница» Министерства здравоохранения Республики Татарстан
6;Государственное автономное учреждение здравоохранения «Республиканская клиническая больница Министерства здравоохранения Республики Татарстан»
7;Государственное автономное учреждение здравоохранения «Республиканский клинический онкологический диспансер Министерства здравоохранения Республики Татарстан»
8;областное государственное бюджетное учреждение здравоохранения «Смоленская областная клиническая больница»
9;Государственное учреждение здравоохранения города Москвы «Городская больница №56 Управления здравоохранения Южного административного округа»
10;Общество с ограниченной ответственностью «Госпиталь «ОрКли»
11;Общество с ограниченной ответственностью «Научно-исследовательский медицинский комплекс «Ваше здоровье»
12;федеральное государственное автономное образовательное учреждение высшего образования Первый Московский государственный медицинский университет имени И.М. Сеченова Министерства здравоохранения Российской Федерации (Сеченовский Университет)
18;государственное бюджетное учреждение Свердловской области «Уральский научно-исследовательский институт дерматовенерологии и иммунопатологии»
20;Федеральное государственное бюджетное учреждение здравоохранения Центральная клиническая больница Российской академии наук
22;Государственное автономное учреждение здравоохранения «Республиканский центр по профилактике и борьбе со СПИД и инфекционными заболеваниями Министерства здравоохранения Республики Татарстан»
24;Кировское областное государственное бюджетное учреждение здравоохранения «Кировский областной центр по профилактике и борьбе со СПИД и инфекционными заболеваниями»
25;Государственное бюджетное учреждение здравоохранения Владимирской области «Областная клиническая больница»
26;Областное бюджетное учреждение здравоохранения «Курский областной клинический онкологический диспансер» комитета здравоохранения Курской области
27;государственное бюджетное учреждение здравоохранения Архангельской области «Архангельский клинический онкологический диспансер»
28;Государственное бюджетное учреждение здравоохранения «Самарский областной клинический кардиологический диспансер»
29;Государственное бюджетное учреждение здравоохранения «Пензенская областная клиническая больница им. Н.Н. Бурденко»
30;Государственное бюджетное учреждение здравоохранения города Москвы «Научно-исследовательский институт скорой помощи                        им. Н.В. Склифосовского Департамента здравоохранения города Москвы»
31;Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 61 Департамента здравоохранения города Москвы»
32;Государственное автономное учреждение здравоохранения города Москвы «Московский научно-практический центр медицинской реабилитации, восстановительной и спортивной медицины Департамента здравоохранения города Москвы»
34;Санкт-Петербургское государственное учреждение здравоохранения «Психиатрическая больница Святого Николая Чудотворца»
36;Санкт-Петербургское государственное бюджетное учреждение здравоохранения «Городская поликлиника № 4»
37;Санкт-Петербургское государственное учреждение здравоохранения «Городская поликлиника №14
38;Негосударственное учреждение здравоохранения «Отделенческая клиническая больница на станции Оренбург открытого акционерного общества «Российские железные дороги»
39;государственное автономное учреждение здравоохранения Ярославской области «Клиническая больница скорой медицинской помощи имени Н.В. Соловьева»
41;Муниципальное учреждение здравоохранения «Мурманская детская городская больница»
